algorithm_name,env_n,size,best_solution,H,states,time
HC,12,10,"(0, 4, 8, 1, 2, 7, 3, 6, 9, 5)",44,182,0.0008857250213623047
HC,13,10,"(4, 9, 5, 2, 1, 6, 8, 7, 0, 3)",43,92,0.00046706199645996094
HC,14,10,"(1, 8, 5, 2, 9, 6, 4, 7, 0, 3)",44,137,0.0006787776947021484
HC,15,10,"(3, 6, 8, 1, 4, 7, 0, 2, 9, 5)",45,137,0.0007679462432861328
HC,16,10,"(3, 7, 9, 2, 5, 1, 4, 0, 8, 6)",45,182,0.0009593963623046875
HC,17,10,"(4, 2, 8, 5, 9, 1, 6, 0, 3, 7)",45,182,0.0008995532989501953
HC,18,10,"(8, 3, 9, 7, 2, 5, 1, 6, 4, 0)",44,182,0.0009150505065917969
HC,19,10,"(2, 8, 1, 4, 7, 3, 0, 6, 5, 9)",43,92,0.0004489421844482422
HC,20,10,"(2, 9, 1, 6, 4, 8, 7, 0, 3, 5)",43,92,0.000476837158203125
HC,21,10,"(2, 5, 8, 6, 0, 3, 1, 4, 7, 9)",45,182,0.0007619857788085938
HC,22,10,"(5, 7, 0, 4, 8, 1, 3, 9, 6, 2)",44,137,0.0006778240203857422
HC,23,10,"(4, 1, 5, 9, 2, 0, 7, 3, 8, 6)",44,182,0.0007061958312988281
HC,24,10,"(2, 6, 3, 1, 8, 5, 0, 9, 7, 4)",44,137,0.0007424354553222656
HC,25,10,"(4, 6, 3, 0, 2, 7, 9, 1, 8, 5)",45,227,0.001468658447265625
HC,26,10,"(3, 9, 6, 4, 0, 7, 1, 8, 5, 2)",43,92,0.0004737377166748047
HC,27,10,"(7, 3, 1, 8, 5, 0, 2, 4, 6, 9)",44,182,0.0008709430694580078
HC,28,10,"(1, 8, 2, 9, 6, 3, 0, 4, 7, 5)",45,137,0.0010752677917480469
HC,29,10,"(4, 1, 5, 8, 6, 0, 2, 7, 9, 3)",44,137,0.0006101131439208984
HC,0,12,"(6, 8, 0, 4, 7, 10, 2, 3, 5, 11, 9, 1)",65,200,0.0008013248443603516
HC,1,12,"(2, 9, 1, 4, 10, 8, 0, 5, 3, 6, 11, 7)",65,200,0.0008256435394287109
HC,2,12,"(9, 6, 1, 5, 2, 8, 10, 7, 4, 3, 11, 0)",65,266,0.0013725757598876953
HC,3,12,"(3, 9, 8, 5, 2, 4, 11, 7, 0, 10, 6, 1)",64,200,0.0007519721984863281
HC,4,12,"(5, 8, 1, 4, 7, 9, 0, 3, 10, 6, 2, 11)",66,266,0.001008749008178711
HC,5,12,"(10, 4, 5, 8, 0, 9, 3, 1, 7, 11, 2, 6)",65,200,0.0008172988891601562
HC,6,12,"(5, 1, 7, 9, 0, 3, 10, 8, 11, 2, 4, 6)",65,266,0.0015056133270263672
HC,7,12,"(5, 1, 6, 0, 7, 11, 4, 8, 10, 3, 9, 2)",66,266,0.0015981197357177734
HC,8,12,"(3, 10, 6, 2, 11, 5, 0, 9, 1, 4, 8, 7)",65,134,0.0005087852478027344
HC,9,12,"(5, 9, 1, 8, 2, 7, 10, 0, 11, 4, 6, 3)",64,332,0.0012412071228027344
HC,10,12,"(5, 0, 6, 10, 7, 1, 3, 9, 2, 4, 8, 11)",65,200,0.0007538795471191406
HC,11,12,"(7, 2, 11, 9, 3, 1, 4, 10, 6, 0, 5, 8)",64,134,0.0005612373352050781
HC,12,12,"(7, 4, 8, 5, 9, 3, 0, 11, 1, 6, 2, 10)",65,266,0.0010080337524414062
HC,13,12,"(8, 11, 2, 3, 9, 6, 1, 5, 10, 0, 7, 4)",64,134,0.000560760498046875
HC,14,12,"(1, 6, 8, 3, 11, 0, 2, 9, 5, 7, 4, 10)",65,266,0.0014662742614746094
HC,15,12,"(5, 10, 8, 0, 3, 1, 6, 2, 9, 7, 11, 4)",65,332,0.0013821125030517578
HC,16,12,"(5, 7, 10, 4, 6, 1, 3, 11, 8, 2, 9, 0)",65,200,0.0007793903350830078
HC,17,12,"(8, 4, 0, 9, 5, 1, 11, 7, 2, 6, 3, 10)",66,266,0.001116037368774414
HC,18,12,"(10, 1, 7, 5, 8, 2, 9, 3, 6, 4, 11, 0)",65,200,0.0017080307006835938
HC,19,12,"(3, 0, 8, 1, 10, 7, 2, 4, 5, 9, 11, 6)",64,200,0.0007500648498535156
