algorithm_name,env_n,size,best_solution,H,states,time
HC,23,10,"(4, 1, 5, 9, 2, 0, 7, 3, 8, 6)",44,180,0.0037069320678710938
HC,24,10,"(6, 8, 3, 1, 9, 5, 2, 0, 7, 4)",44,135,0.002416372299194336
HC,25,10,"(6, 0, 3, 8, 2, 7, 9, 1, 5, 4)",43,135,0.002438068389892578
HC,26,10,"(3, 9, 6, 4, 0, 7, 1, 8, 5, 2)",43,90,0.0018014907836914062
HC,27,10,"(7, 4, 8, 0, 5, 1, 2, 9, 6, 3)",44,180,0.0031881332397460938
HC,28,10,"(1, 8, 2, 9, 6, 3, 0, 4, 7, 5)",45,135,0.0021135807037353516
HC,29,10,"(8, 1, 5, 0, 6, 4, 2, 7, 9, 3)",43,135,0.0020673274993896484
HC,0,12,"(6, 3, 0, 4, 7, 9, 2, 11, 5, 8, 10, 1)",65,264,0.007462263107299805
HC,1,12,"(2, 9, 1, 4, 10, 8, 11, 5, 3, 0, 6, 7)",65,198,0.004082918167114258
HC,2,12,"(0, 10, 1, 5, 2, 8, 3, 7, 4, 6, 11, 9)",63,198,0.003215789794921875
HC,3,12,"(3, 10, 8, 1, 5, 7, 11, 6, 0, 9, 4, 2)",65,264,0.006384134292602539
HC,4,12,"(5, 8, 1, 4, 7, 9, 0, 3, 10, 6, 2, 11)",66,264,0.004792690277099609
HC,5,12,"(9, 4, 5, 7, 0, 6, 3, 1, 8, 11, 2, 10)",64,132,0.002371072769165039
HC,6,12,"(5, 1, 7, 9, 0, 3, 10, 8, 11, 2, 4, 6)",65,264,0.006485462188720703
HC,7,12,"(5, 1, 6, 0, 7, 11, 4, 8, 10, 3, 9, 2)",66,264,0.006955146789550781
HC,8,12,"(3, 10, 6, 2, 11, 5, 0, 9, 1, 4, 8, 7)",65,132,0.0046083927154541016
HC,9,12,"(5, 9, 6, 4, 0, 1, 8, 2, 11, 3, 7, 10)",65,330,0.007016658782958984
HC,10,12,"(3, 0, 6, 8, 10, 1, 9, 5, 2, 4, 7, 11)",65,198,0.003625631332397461
HC,11,12,"(7, 2, 11, 9, 3, 1, 4, 10, 6, 0, 5, 8)",64,132,0.002235889434814453
HC,12,12,"(7, 4, 8, 5, 9, 3, 0, 11, 1, 6, 2, 10)",65,264,0.006635189056396484
HC,13,12,"(4, 11, 1, 3, 9, 6, 2, 0, 10, 7, 5, 8)",66,264,0.009444713592529297
HC,14,12,"(1, 6, 8, 3, 11, 0, 2, 9, 5, 7, 4, 10)",65,264,0.005040884017944336
HC,15,12,"(3, 0, 8, 10, 4, 1, 9, 2, 6, 11, 7, 5)",65,264,0.0065953731536865234
HC,16,12,"(5, 7, 10, 4, 6, 1, 3, 11, 8, 2, 9, 0)",65,198,0.004683732986450195
HC,17,12,"(8, 6, 4, 9, 11, 1, 5, 7, 2, 0, 3, 10)",64,198,0.004370689392089844
HC,18,12,"(10, 1, 7, 5, 8, 2, 9, 3, 6, 4, 11, 0)",65,198,0.002708911895751953
HC,19,12,"(10, 8, 0, 1, 3, 7, 2, 4, 5, 9, 11, 6)",64,198,0.003561735153198242
HC,20,12,"(8, 10, 2, 4, 1, 7, 9, 11, 6, 0, 3, 5)",66,198,0.0035376548767089844
HC,21,12,"(2, 6, 10, 4, 11, 9, 5, 3, 1, 7, 0, 8)",64,198,0.004403114318847656
HC,22,12,"(8, 3, 11, 9, 7, 5, 0, 2, 6, 10, 1, 4)",65,330,0.006489276885986328
HC,23,12,"(4, 1, 8, 11, 6, 3, 0, 10, 5, 2, 9, 7)",65,264,0.00544285774230957
HC,24,12,"(11, 2, 8, 6, 3, 1, 10, 5, 0, 9, 7, 4)",66,198,0.004797935485839844
HC,25,12,"(6, 9, 3, 1, 7, 10, 2, 11, 5, 0, 4, 8)",65,198,0.004595756530761719
HC,26,12,"(11, 3, 10, 6, 9, 2, 0, 7, 8, 1, 5, 4)",64,198,0.00489354133605957
HC,27,12,"(10, 7, 4, 0, 3, 9, 6, 2, 11, 1, 8, 5)",65,198,0.005705833435058594
HC,28,12,"(1, 3, 8, 10, 2, 11, 5, 7, 4, 0, 9, 6)",64,132,0.0023937225341796875
HC,29,12,"(8, 1, 9, 4, 2, 7, 11, 3, 6, 0, 5, 10)",65,330,0.00618433952331543
HC,0,15,"(2, 6, 8, 14, 0, 4, 9, 7, 3, 13, 11, 5, 1, 10, 12)",105,525,0.017267465591430664
HC,1,15,"(5, 9, 12, 1, 4, 14, 7, 11, 3, 2, 6, 13, 0, 10, 8)",104,420,0.011204957962036133
HC,2,15,"(13, 5, 12, 1, 11, 7, 2, 4, 14, 8, 10, 0, 6, 3, 9)",104,525,0.013815164566040039
HC,3,15,"(3, 6, 8, 2, 13, 10, 7, 1, 4, 0, 14, 11, 9, 5, 12)",104,420,0.011572599411010742
HC,4,15,"(7, 4, 1, 11, 6, 10, 12, 2, 0, 3, 14, 8, 5, 13, 9)",104,420,0.011129617691040039
HC,5,15,"(9, 6, 10, 5, 11, 8, 0, 7, 3, 1, 14, 12, 13, 4, 2)",104,420,0.012084722518920898
HC,6,15,"(12, 9, 1, 7, 4, 0, 13, 10, 5, 2, 8, 11, 14, 3, 6)",103,315,0.0077207088470458984
HC,7,15,"(9, 2, 6, 10, 1, 11, 8, 5, 13, 4, 0, 7, 3, 12, 14)",104,525,0.016485214233398438
HC,8,15,"(3, 5, 0, 12, 14, 6, 11, 1, 8, 4, 2, 10, 7, 9, 13)",103,420,0.011591672897338867
